current_filename,subspecialty,extracted_author,extracted_year,extracted_journal,extracted_title,suggested_filename,confidence,confidence_level,status
"DesignEvolutionofGlenoidComponent.pdf",SHOULDER_AND_ELBOW,"Armstrong",2013,"JBJS","DesignEvolutionofGlenoidComponent","2013_Armstrong_JBJS_Design Evolution of Glenoid Component",1.00,high,pending
"DistalClavicleFxs.pdf",SHOULDER_AND_ELBOW,"",2011,"JAAOS","DistalClavicleFxs","2011_Unknown_JAAOS_Distal Clavicle Fxs",0.75,high,pending
"Dominik_2012_AJSM_Retraction_of_Supraspinatus_Muscle.pdf",SHOULDER_AND_ELBOW,"Dominik",2012,"AJSM","Retraction of Supraspinatus Muscle","2012_Dominik_AJSM_Retraction of Supraspinatus Muscle",1.00,high,pending
"Dominik_2016_JSES_Lengthening_of_the_subscapularis_tendon_as_a.pdf",SHOULDER_AND_ELBOW,"Dominik",2016,"JSES","Lengthening of the subscapularis tendon as a","2016_Dominik_JSES_Lengthening of the Subscapularis Tendon as a",1.00,high,pending
"Dominik_2019_JBJS_Zurich_Open_Repository_and.pdf",SHOULDER_AND_ELBOW,"Dominik",2019,"JBJS","Zurich Open Repository and","2019_Dominik_JBJS_Zurich Open Repository and",1.00,high,pending
"DoublePulleyRemplissageTechniqueforHillSachs.pdf",SHOULDER_AND_ELBOW,"Carey",2004,"CORR","DoublePulleyRemplissageTechniqueforHillSachs","2004_Carey_CORR_Double Pulley Remplissage Technique for Hill Sachs",1.00,high,pending
"Douglas_Unknown_Spine_ORIGINAL_ARTICLES.pdf",SHOULDER_AND_ELBOW,"Douglas",,"Spine","ORIGINAL ARTICLES","Unknown_Douglas_Spine_Original Articles",0.75,high,pending
"Do_2016_AJSM_Evaluation_of_Repair_Tension_in.pdf",SHOULDER_AND_ELBOW,"Do",2016,"AJSM","Evaluation of Repair Tension in","2016_Do_AJSM_Evaluation of Repair Tension in",1.00,high,pending
"Dvir_1911_Spine_Bioengineering_Unit._University_of_Strathclyde._Glasgow._U.K.pdf",SHOULDER_AND_ELBOW,"Dvir",1911,"Spine","Bioengineering Unit. University of Strathclyde. Glasgow. U.K","1911_Dvir_Spine_Bioengineering Unit. University of Strathclyde.",1.00,high,pending
"DxofPeriprostheticInfectionAfterTSA_JBJSReviews.pdf",SHOULDER_AND_ELBOW,"Ricchetti",2013,"JBJS","JBJSReviews","2013_Ricchetti_JBJS_Jbjs Reviews",1.00,high,pending
"Dynamic_1990_Orthopedics_Unknown.pdf",SHOULDER_AND_ELBOW,"Dynamic",1990,"Orthopedics","Unknown","1990_Dynamic_Orthopedics_Unknown",1.00,high,pending
"Dynamic_1990_Orthopedics_Unknown_1.pdf",SHOULDER_AND_ELBOW,"Dynamic",1990,"Orthopedics","Unknown 1","1990_Dynamic_Orthopedics_Unknown 1",1.00,high,pending
"Dynamic_stability_of_the_scapula.pdf",SHOULDER_AND_ELBOW,"Dynamic",,"of","the scapula","Unknown_Dynamic_of_The Scapula",0.75,high,pending
"Edwards_2002_JBJS_COPYRIGHT_©_2002_BY_THE_JOURNAL_OF_BONE_AND_JOINT_SURGERY,_INCORPORATED.pdf",SHOULDER_AND_ELBOW,"Edwards",2002,"JBJS","COPYRIGHT © 2002 BY THE JOURNAL OF BONE AND JOINT SURGERY, INCORPORATED","2002_Edwards_JBJS_Copyright © 2002 by the Journal of Bone and Joint",1.00,high,pending
"Edwards_2002_JSES_Two_hundred_sixty-eight_anatomically_designed_shoulder.pdf",SHOULDER_AND_ELBOW,"Edwards",2002,"JSES","Two hundred sixty eight anatomically designed shoulder","2002_Edwards_JSES_Two Hundred Sixty Eight Anatomically Designed",1.00,high,pending
"ElbowAthroscopy_JAAOS.pdf",SHOULDER_AND_ELBOW,"Techniques",2014,"JAAOS","Instructional Course Lecture","2014_Techniques_JAAOS_Instructional Course Lecture",1.00,high,pending
"ElbowContractureDuetoHO.pdf",SHOULDER_AND_ELBOW,"Shanghai",2017,"JBJS","ElbowContractureDuetoHO","2017_Shanghai_JBJS_Elbow Contracture Dueto Ho",1.00,high,pending
"ElbowInjuriesThrowingAthlete_JBJSReviews.pdf",SHOULDER_AND_ELBOW,"Patel",2014,"JBJS","JBJSReviews","2014_Patel_JBJS_Jbjs Reviews",1.00,high,pending
"ElbowInstability.pdf",SHOULDER_AND_ELBOW,"JohnElfar",,"JHS","ElbowInstability","Unknown_JohnElfar_JHS_Elbow Instability",0.75,high,pending
"Emmanuel_2011_CORR_Grammont's_Idea_The_Story_of_Paul_Grammont's_Functional_Surgery_Concept.pdf",SHOULDER_AND_ELBOW,"Emmanuel",2011,"CORR","Grammont's Idea The Story of Paul Grammont's Functional Surgery Concept","2011_Emmanuel_CORR_Grammont's Idea the Story of Paul Grammont's",1.00,high,pending
"Emmanuel_2011_CORR_SYMPOSIUM_REVERSE_TOTAL_SHOULDER_ARTHROPLASTY.pdf",SHOULDER_AND_ELBOW,"Emmanuel",2011,"CORR","SYMPOSIUM REVERSE TOTAL SHOULDER ARTHROPLASTY","2011_Emmanuel_CORR_Symposium Reverse Total Shoulder Arthroplasty",1.00,high,pending
"EvalandTxofOpenDistalHumerusFxs.pdf",SHOULDER_AND_ELBOW,"Zimmer",2017,"JBJS","EvalandTxofOpenDistalHumerusFxs","2017_Zimmer_JBJS_Eval and Tx of Open Distal Humerus Fxs",1.00,high,pending
"Evan_1977_CORR_SYMPOSIUM_REVERSE_TOTAL_SHOULDER_ARTHROPLASTY.pdf",SHOULDER_AND_ELBOW,"Evan",1977,"CORR","SYMPOSIUM REVERSE TOTAL SHOULDER ARTHROPLASTY","1977_Evan_CORR_Symposium Reverse Total Shoulder Arthroplasty",1.00,high,pending
"Evan_1992_Spine_Excursion_of_the_Rotator_Cuff_Under_the.pdf",SHOULDER_AND_ELBOW,"Evan",1992,"Spine","Excursion of the Rotator Cuff Under the","1992_Evan_Spine_Excursion of the Rotator Cuff under the",1.00,high,pending
"Extra_2017_Arthroscopy_Editorial_Commentary_Subacromial_Balloon_Spacer_for.pdf",SHOULDER_AND_ELBOW,"Extra",2017,"Arthroscopy","Editorial Commentary Subacromial Balloon Spacer for","2017_Extra_Arthroscopy_Editorial Commentary Subacromial Balloon Spacer",1.00,high,pending
"Extra_2023_JBJS_Systematic_Review.pdf",SHOULDER_AND_ELBOW,"Extra",2023,"JBJS","Systematic Review","2023_Extra_JBJS_Systematic Review",1.00,high,pending
"Fabian_2023_AJSM_A_Systematic_Review_of_Long-term.pdf",SHOULDER_AND_ELBOW,"Fabian",2023,"AJSM","A Systematic Review of Long term","2023_Fabian_AJSM_A Systematic Review of Long Term",1.00,high,pending
"FailedSLAPRepair.pdf",SHOULDER_AND_ELBOW,"Etiology",2014,"JAAOS","FailedSLAPRepair","2014_Etiology_JAAOS_Failed Slap Repair",1.00,high,pending
"Favard_2004_JBJS_THE_JOURNAL_OF_BONE_AND_JOINT_SURGERY.pdf",SHOULDER_AND_ELBOW,"Favard",2004,"JBJS","THE JOURNAL OF BONE AND JOINT SURGERY","2004_Favard_JBJS_The Journal of Bone and Joint Surgery",1.00,high,pending
"Favard_2004_JBJS_THE_JOURNAL_OF_BONE_AND_JOINT_SURGERY_1.pdf",SHOULDER_AND_ELBOW,"Favard",2004,"JBJS","THE JOURNAL OF BONE AND JOINT SURGERY 1","2004_Favard_JBJS_The Journal of Bone and Joint Surgery 1",1.00,high,pending
"Felix_2018_AJSM_Relationship_Between_Deltoid_and.pdf",SHOULDER_AND_ELBOW,"Felix",2018,"AJSM","Relationship Between Deltoid and","2018_Felix_AJSM_Relationship between Deltoid and",1.00,high,pending
"FloatingShoulder_JBJSReviews.pdf",SHOULDER_AND_ELBOW,"FloatingShoulder",2018,"JBJS","JBJSReviews","2018_FloatingShoulder_JBJS_Jbjs Reviews",1.00,high,pending
"Frankle CORR 2011 How RTSA Works.pdf",SHOULDER_AND_ELBOW,"",1974,"CORR","Frankle CORR 2011 How RTSA Works","1974_Unknown_CORR_Frankle Corr 2011 How Rtsa Works",0.75,high,pending
"Frederick_2014_CORR_CLINICAL_RESEARCH.pdf",SHOULDER_AND_ELBOW,"Frederick",2014,"CORR","CLINICAL RESEARCH","2014_Frederick_CORR_Clinical Research",1.00,high,pending
"Fuchs_1999_Spine_Fatty_degeneration.pdf",SHOULDER_AND_ELBOW,"Fuchs",1999,"Spine","Fatty degeneration","1999_Fuchs_Spine_Fatty Degeneration",1.00,high,pending
"Fukuda_1963_Arthroscopy_J_Orthop_Sci_(2007)_124–13.pdf",SHOULDER_AND_ELBOW,"Fukuda",1963,"Arthroscopy","J Orthop Sci (2007) 124–13","1963_Fukuda_Arthroscopy_J Orthop Sci 2007 124-13",1.00,high,pending
"Fukuda_2000_JSES_It_is_indeed_a_great_honor_to_be_appointed_the_Codman.pdf",SHOULDER_AND_ELBOW,"Fukuda",2000,"JSES","It is indeed a great honor to be appointed the Codman","2000_Fukuda_JSES_It Is Indeed a Great Honor to Be Appointed the",1.00,high,pending
"Gartsman_1998_JBJS_Copyright_1998_by_The_Journal_of_Bone_and_Joint_Surgery,_Incorporated.pdf",SHOULDER_AND_ELBOW,"Gartsman",1998,"JBJS","Copyright 1998 by The Journal of Bone and Joint Surgery, Incorporated","1998_Gartsman_JBJS_Copyright 1998 by the Journal of Bone and Joint",1.00,high,pending
"Gerald_1996_CORR_CLINICAL_ORTHOPAEDICS_AND_RELATED_RESEARCH.pdf",SHOULDER_AND_ELBOW,"Gerald",1996,"CORR","CLINICAL ORTHOPAEDICS AND RELATED RESEARCH","1996_Gerald_CORR_Clinical Orthopaedics and Related Research",1.00,high,pending
"Gerald_1996_JSES_Hemiarthroplasty_in_rotator.pdf",SHOULDER_AND_ELBOW,"Gerald",1996,"JSES","Hemiarthroplasty in rotator","1996_Gerald_JSES_Hemiarthroplasty in Rotator",1.00,high,pending
"Gerald_1999_CORR_CLINICAL_ORTHOPAEDICS_AND_RELATED_RESEARCH.pdf",SHOULDER_AND_ELBOW,"Gerald",1999,"CORR","CLINICAL ORTHOPAEDICS AND RELATED RESEARCH","1999_Gerald_CORR_Clinical Orthopaedics and Related Research",1.00,high,pending
"Gerber_1985_Spine_The_Subcoracoid_Space.pdf",SHOULDER_AND_ELBOW,"Gerber",1985,"Spine","The Subcoracoid Space","1985_Gerber_Spine_The Subcoracoid Space",1.00,high,pending
"Gerber_1990_Unknown_Unknown.pdf",SHOULDER_AND_ELBOW,"Gerber",1990,"","Unknown","1990_Gerber_Unknown_Unknown",0.75,high,pending
"Gerber_2002_CORR_CLINICAL_ORTHOPAEDICS_AND_RELATED_RESEARCH.pdf",SHOULDER_AND_ELBOW,"Gerber",2002,"CORR","CLINICAL ORTHOPAEDICS AND RELATED RESEARCH","2002_Gerber_CORR_Clinical Orthopaedics and Related Research",1.00,high,pending
"Gerber_2004_JBJS_COPYRIGHT_©_2004_BY_THE_JOURNAL_OF_BONE_AND_JOINT_SURGERY,_INCORPORATED.pdf",SHOULDER_AND_ELBOW,"Gerber",2004,"JBJS","COPYRIGHT © 2004 BY THE JOURNAL OF BONE AND JOINT SURGERY, INCORPORATED","2004_Gerber_JBJS_Copyright © 2004 by the Journal of Bone and Joint",1.00,high,pending
"Gerber_2004_JBJS_COPYRIGHT_©_2004_BY_THE_JOURNAL_OF_BONE_AND_JOINT_SURGERY,_INCORPORATED_1.pdf",SHOULDER_AND_ELBOW,"Gerber",2004,"JBJS","COPYRIGHT © 2004 BY THE JOURNAL OF BONE AND JOINT SURGERY, INCORPORATED 1","2004_Gerber_JBJS_Copyright © 2004 by the Journal of Bone and Joint",1.00,high,pending
"Gerber_2010_IntOrthop_Reverse_total_shoulder_arthroplasty—from_the_most.pdf",SHOULDER_AND_ELBOW,"Gerber",2010,"IntOrthop","Reverse total shoulder arthroplasty—from the most","2010_Gerber_IntOrthop_Reverse Total Shoulder Arthroplasty-from the Most",1.00,high,pending
"Gerber_2013_JOrthopRes_Supraspinatus_Tendon_Load_During_Abduction_Is_Dependent_on_the.pdf",SHOULDER_AND_ELBOW,"Gerber",2013,"JOrthopRes","Supraspinatus Tendon Load During Abduction Is Dependent on the","2013_Gerber_JOrthopRes_Supraspinatus Tendon Load during Abduction Is",1.00,high,pending
"Gibbons_2016_Spine_Muscle_Architectural_Changes_After_Massive_Human_Rotator_Cuff_Tear.pdf",SHOULDER_AND_ELBOW,"Gibbons",2016,"Spine","Muscle Architectural Changes After Massive Human Rotator Cuff Tear","2016_Gibbons_Spine_Muscle Architectural Changes after Massive Human",1.00,high,pending
"Gilles_1992_JSES_Acromial_insufﬁciency_in_reverse_shoulder.pdf",SHOULDER_AND_ELBOW,"Gilles",1992,"JSES","Acromial insufﬁciency in reverse shoulder","1992_Gilles_JSES_Acromial Insufﬁciency in Reverse Shoulder",1.00,high,pending
"Gilles_1999_JArthroplasty_The_Journal_of_Arthroplasty_Vol._14_No._6_1999.pdf",SHOULDER_AND_ELBOW,"Gilles",1999,"JArthroplasty","The Journal of Arthroplasty Vol. 14 No. 6 1999","1999_Gilles_JArthroplasty_The Journal of Arthroplasty Vol. 14 No. 6 1999",1.00,high,pending
"Gilles_1999_JArthroplasty_The_Journal_of_Arthroplasty_Vol._14_No._6_1999_1.pdf",SHOULDER_AND_ELBOW,"Gilles",1999,"JArthroplasty","The Journal of Arthroplasty Vol. 14 No. 6 1999 1","1999_Gilles_JArthroplasty_The Journal of Arthroplasty Vol. 14 No. 6 1999 1",1.00,high,pending
"Gilles_2002_JSES_Static_posterior_subluxation_of_the_humeral_head_An.pdf",SHOULDER_AND_ELBOW,"Gilles",2002,"JSES","Static posterior subluxation of the humeral head An","2002_Gilles_JSES_Static Posterior Subluxation of the Humeral Head",1.00,high,pending
"Gilles_2002_JSES_Static_posterior_subluxation_of_the_humeral_head_An_1.pdf",SHOULDER_AND_ELBOW,"Gilles",2002,"JSES","Static posterior subluxation of the humeral head An 1","2002_Gilles_JSES_Static Posterior Subluxation of the Humeral Head",1.00,high,pending
"GlenohumeralMismatchinAnatomicTotalShoulder.pdf",SHOULDER_AND_ELBOW,"Surgery",2017,"JBJS","GlenohumeralMismatchinAnatomicTotalShoulder","2017_Surgery_JBJS_Glenohumeral Mismatch in Anatomic Total Shoulder",1.00,high,pending
"Glenohumeral_1998_JBJS_Copyright_1998_by_The_Journal_of_Bone_and_Joint_Surgery,_Incorporated.pdf",SHOULDER_AND_ELBOW,"Glenohumeral",1998,"JBJS","Copyright 1998 by The Journal of Bone and Joint Surgery, Incorporated","1998_Glenohumeral_JBJS_Copyright 1998 by the Journal of Bone and Joint",1.00,high,pending
"Glenohumeral_2018_Unknown_Ecology_and_Evolution._2019;9703–722.pdf",SHOULDER_AND_ELBOW,"Glenohumeral",2018,"CORR","Ecology and Evolution. 2019;9703–722","2018_Glenohumeral_CORR_Ecology and Evolution. 20199703-722",1.00,high,pending
"Glenoid compinent in TSA.pdf",SHOULDER_AND_ELBOW,"",2015,"JAAOS","Glenoid compinent in TSA","2015_Unknown_JAAOS_Glenoid Compinent in Tsa",0.75,high,pending
"GlenoidBoneLossinPrimaryTSA.pdf",SHOULDER_AND_ELBOW,"Sears",2012,"JAAOS","GlenoidBoneLossinPrimaryTSA","2012_Sears_JAAOS_Glenoid Bone Loss in Primary Tsa",1.00,high,pending
"GlenoidComponentinAnatomicTSA.pdf",SHOULDER_AND_ELBOW,"",2015,"JAAOS","GlenoidComponentinAnatomicTSA","2015_Unknown_JAAOS_Glenoid Component in Anatomic Tsa",0.75,high,pending
"Glenoid_2000_Spine_Journal_of_Orthopaedic_Research_22_(2004)_202-207.pdf",SHOULDER_AND_ELBOW,"Glenoid",2000,"Spine","Journal of Orthopaedic Research 22 (2004) 202 207","2000_Glenoid_Spine_Journal of Orthopaedic Research 22 2004 202 207",1.00,high,pending
"HAGL_AAOS.pdf",SHOULDER_AND_ELBOW,"George",2011,"JAAOS","Humeral Avulsion of","2011_George_JAAOS_Humeral Avulsion of",1.00,high,pending
"Harryman_1992_JBJS_The_PDF_of_the_article_you_requested_follows_this_cover_page.pdf",SHOULDER_AND_ELBOW,"Harryman",1992,"JBJS","The PDF of the article you requested follows this cover page","1992_Harryman_JBJS_The Pdf of the Article You Requested Follows This",1.00,high,pending
"Harryman_1992_Unknown_Unknown.pdf",SHOULDER_AND_ELBOW,"Harryman",1992,"JOT","Unknown","1992_Harryman_JOT_Unknown",1.00,high,pending
"Harryman_1992_Unknown_Unknown_1.pdf",SHOULDER_AND_ELBOW,"Harryman",1992,"","Unknown 1","1992_Harryman_Unknown_Unknown 1",0.75,high,pending
"Harryman_1992_Unknown_Unknown_1_2.pdf",SHOULDER_AND_ELBOW,"Harryman",1992,"JOT","Unknown 1 2","1992_Harryman_JOT_Unknown 1 2",1.00,high,pending
"Helen_2019_AJSM_The_Natural_History_of_Full-Thickness.pdf",SHOULDER_AND_ELBOW,"Helen",2019,"AJSM","The Natural History of Full Thickness","2019_Helen_AJSM_The Natural History of Full Thickness",1.00,high,pending
"Helen_2019_AJSM_The_Natural_History_of_Full-Thickness_1.pdf",SHOULDER_AND_ELBOW,"Helen",2019,"AJSM","The Natural History of Full Thickness 1","2019_Helen_AJSM_The Natural History of Full Thickness 1",1.00,high,pending
"Hemi vs. Reverse.pdf",SHOULDER_AND_ELBOW,"",1999,"JSES","Hemi vs. Reverse","1999_Unknown_JSES_Hemi vs. Reverse",0.75,high,pending
"hemiarthroplasty-versus-reverse-total-shoulder-arthroplasty-for-acute-proximal-humerus-fractures.pdf",SHOULDER_AND_ELBOW,"",,"JSES","hemiarthroplasty versus reverse total shoulder arthroplasty for acute proximal humerus fractures","Unknown_Unknown_JSES_Hemiarthroplasty Versus Reverse Total Shoulder",0.50,medium,pending
"Hertel_1996_JSES_Lag_signs_in_the_diagnosis_of_rotator.pdf",SHOULDER_AND_ELBOW,"Hertel",1996,"JSES","Lag signs in the diagnosis of rotator","1996_Hertel_JSES_Lag Signs in the Diagnosis of Rotator",1.00,high,pending
"HumeralImplantinTSA.pdf",SHOULDER_AND_ELBOW,"Keener",2017,"JAAOS","HumeralImplantinTSA","2017_Keener_JAAOS_Humeral Implant in Tsa",1.00,high,pending
"HumeralStemLoosening_JBJSReviews.pdf",SHOULDER_AND_ELBOW,"HumeralStemLoosening",2018,"JBJS","JBJSReviews","2018_HumeralStemLoosening_JBJS_Jbjs Reviews",1.00,high,pending
"humeroscapular motion_romeo.pdf",SHOULDER_AND_ELBOW,"humeroscapular motion",,"","romeo","Unknown_humeroscapular motion_Unknown_Romeo",0.25,low,pending
"Iannotti_1992_Unknown_ThefournaofBone.pdf",SHOULDER_AND_ELBOW,"Iannotti",1992,"CORR","ThefournaofBone","1992_Iannotti_CORR_Thefourna of Bone",1.00,high,pending
"Iannotti_1998_Injury_Skeletal_Radiol_(1998)_2792±97.pdf",SHOULDER_AND_ELBOW,"Iannotti",1998,"Injury","Skeletal Radiol (1998) 2792±97","1998_Iannotti_Injury_Skeletal Radiol 1998 2792±97",1.00,high,pending
"ImagingTechniquesforEvalofGlenohumeralInstability.pdf",SHOULDER_AND_ELBOW,"",2000,"CORR","ImagingTechniquesforEvalofGlenohumeralInstability","2000_Unknown_CORR_Imaging Techniques for Eval of Glenohumeral",0.75,high,pending
"Injury 2014 Elbow arthroplasty review.pdf",SHOULDER_AND_ELBOW,"Postacchini",2013,"CORR","Injury 2014 Elbow arthroplasty review","2013_Postacchini_CORR_Injury 2014 Elbow Arthroplasty Review",1.00,high,pending
"JAAOS 2005 - throwing athlete peds shoulder and elbow.pdf",SHOULDER_AND_ELBOW,"Chen",2005,"JAAOS","JAAOS 2005   throwing athlete peds shoulder and elbow","2005_Chen_JAAOS_Jaaos 2005 Throwing Athlete Peds Shoulder and",1.00,high,pending
"JAAOS 2006 Complex elbow instability.pdf",SHOULDER_AND_ELBOW,"Tashjian",2006,"JAAOS","JAAOS 2006 Complex elbow instability","2006_Tashjian_JAAOS_Jaaos 2006 Complex Elbow Instability",1.00,high,pending
"JAAOS 2009 Shoulder arthroplasty options.pdf",SHOULDER_AND_ELBOW,"Fabing",2009,"JAAOS","JAAOS 2009 Shoulder arthroplasty options","2009_Fabing_JAAOS_Jaaos 2009 Shoulder Arthroplasty Options",1.00,high,pending
"JAAOS 2010 - Surgical Treatment of Distal Biceps Rupture.pdf",SHOULDER_AND_ELBOW,"Sutton",2010,"JAAOS","JAAOS 2010   Surgical Treatment of Distal Biceps Rupture","2010_Sutton_JAAOS_Jaaos 2010 Surgical Treatment of Distal Biceps",1.00,high,pending
"JAAOs 2011 - Optimizing the Management of Rotator Cuff Problems.pdf",SHOULDER_AND_ELBOW,"Pedowitz",2011,"JAAOS","JAAOs 2011   Optimizing the Management of Rotator Cuff Problems","2011_Pedowitz_JAAOS_Jaa Os 2011 Optimizing the Management of Rotator",1.00,high,pending
"JAAOS 2011 Complications in reverse TSA.pdf",SHOULDER_AND_ELBOW,"",2011,"JAAOS","JAAOS 2011 Complications in reverse TSA","2011_Unknown_JAAOS_Jaaos 2011 Complications in Reverse Tsa",0.75,high,pending
"JAAOS 2011 Complications in RSA.pdf",SHOULDER_AND_ELBOW,"",2011,"JAAOS","JAAOS 2011 Complications in RSA","2011_Unknown_JAAOS_Jaaos 2011 Complications in Rsa",0.75,high,pending
"JAAOS 2011 Complications_of_Total_Elbow_Arthroplasty.3.pdf",SHOULDER_AND_ELBOW,"JAAOS 2011 Complications",2011,"Total","Elbow Arthroplasty.3","2011_JAAOS 2011 Complications_Total_Elbow Arthroplasty.3",1.00,high,pending
"JAAOS 2013 Complications in TSA.pdf",SHOULDER_AND_ELBOW,"Sperling",2013,"JAAOS","JAAOS 2013 Complications in TSA","2013_Sperling_JAAOS_Jaaos 2013 Complications in Tsa",1.00,high,pending
"JAAOS 2013 Total Elbow Options.pdf",SHOULDER_AND_ELBOW,"Ramsey",2013,"JAAOS","JAAOS 2013 Total Elbow Options","2013_Ramsey_JAAOS_Jaaos 2013 Total Elbow Options",1.00,high,pending
"JAAOS 2013 Total_Elbow_Arthroplasty__Current_Options.8.pdf",SHOULDER_AND_ELBOW,"Ramsey",2013,"Arthroplasty"," Current Options.8","2013_Ramsey_Arthroplasty_Current Options.8",1.00,high,pending
"JAAOS 2014 - Elbow_Arthroscopy___Indications,_Techniques,.7.pdf",SHOULDER_AND_ELBOW,"Techniques",2014,"JAAOS"," Indications, Techniques,.7","2014_Techniques_JAAOS_Indications Techniques.7",1.00,high,pending
"JAAOS 2014 - Management of Anterior Glenohumeral Instability with and without Bone Loss.pdf",SHOULDER_AND_ELBOW,"Schrumpf",,"JAAOS","JAAOS 2014   Management of Anterior Glenohumeral Instability with and without Bone Loss","Unknown_Schrumpf_JAAOS_Jaaos 2014 Management of Anterior Glenohumeral",0.75,high,pending
"JAAOS 2014 acute shoulder dislocation.pdf",SHOULDER_AND_ELBOW,"",2014,"JAAOS","JAAOS 2014 acute shoulder dislocation","2014_Unknown_JAAOS_Jaaos 2014 Acute Shoulder Dislocation",0.75,high,pending
"JAAOS 2014 Posterosuperior RC Tears.pdf",SHOULDER_AND_ELBOW,"Millett",2014,"JAAOS","JAAOS 2014 Posterosuperior RC Tears","2014_Millett_JAAOS_Jaaos 2014 Posterosuperior Rc Tears",1.00,high,pending
"JAAOS 2016 - Comparison_of_Surgical_Techniques_for_Ulnar.2.pdf",SHOULDER_AND_ELBOW,"Chang",2016,"Surgical","Techniques for Ulnar.2","2016_Chang_Surgical_Techniques for Ulnar.2",1.00,high,pending
"JAAOS 2018 Millet Arthroscopic_Management_of_Glenohumeral_Arthritis_.1.pdf",SHOULDER_AND_ELBOW,"JAAOS 2018 Millet Arthroscopic",2018,"of","Glenohumeral Arthritis .1","2018_JAAOS 2018 Millet Arthroscopic_of_Glenohumeral Arthritis .1",1.00,high,pending
"Jason_2013_JBJS_Glenoid_Component_Retroversion_Is_Associated.pdf",SHOULDER_AND_ELBOW,"Jason",2013,"JBJS","Glenoid Component Retroversion Is Associated","2013_Jason_JBJS_Glenoid Component Retroversion Is Associated",1.00,high,pending
"Jay_2015_JBJS_A_Prospective_Evaluation_of_Survivorship_of.pdf",SHOULDER_AND_ELBOW,"Jay",2015,"JBJS","A Prospective Evaluation of Survivorship of","2015_Jay_JBJS_A Prospective Evaluation of Survivorship of",1.00,high,pending
"Jay_2024_JBJS_Optimizing_Muscle-Tendon_Lengths_in_Reverse_Total.pdf",SHOULDER_AND_ELBOW,"Jay",2024,"JBJS","Optimizing Muscle Tendon Lengths in Reverse Total","2024_Jay_JBJS_Optimizing Muscle Tendon Lengths in Reverse Total",1.00,high,pending
"Jay_2024_JBJS_Optimizing_Muscle-Tendon_Lengths_in_Reverse_Total_1.pdf",SHOULDER_AND_ELBOW,"Jay",2024,"JBJS","Optimizing Muscle Tendon Lengths in Reverse Total 1","2024_Jay_JBJS_Optimizing Muscle Tendon Lengths in Reverse Total",1.00,high,pending
"JBJS, 2013, Mesiha, Rotator crescent and cable, cadaver model .pdf",SHOULDER_AND_ELBOW,"Mesiha",,"JBJS","JBJS, 2013, Mesiha, Rotator crescent and cable, cadaver model ","Unknown_Mesiha_JBJS_Jbjs 2013 Mesiha Rotator Crescent and Cable",0.75,high,pending
"Jeffrey_2002_JSES_Anatomy_and_dimensions_of_rotator_cuff_insertions.pdf",SHOULDER_AND_ELBOW,"Jeffrey",2002,"JSES","Anatomy and dimensions of rotator cuff insertions","2002_Jeffrey_JSES_Anatomy and Dimensions of Rotator Cuff Insertions",1.00,high,pending
"Jensen_1999_JBJS_Current_Concepts_Review.pdf",SHOULDER_AND_ELBOW,"Jensen",1999,"JBJS","Current Concepts Review","1999_Jensen_JBJS_Current Concepts Review",1.00,high,pending
"Jeremiah_2007_JSES_Nonprosthetic_glenoid_arthroplasty_with_humeral.pdf",SHOULDER_AND_ELBOW,"Jeremiah",2007,"JSES","Nonprosthetic glenoid arthroplasty with humeral","2007_Jeremiah_JSES_Nonprosthetic Glenoid Arthroplasty with Humeral",1.00,high,pending
"Jeremiah_2007_JSES_Nonprosthetic_glenoid_arthroplasty_with_humeral_1.pdf",SHOULDER_AND_ELBOW,"Jeremiah",2007,"JSES","Nonprosthetic glenoid arthroplasty with humeral 1","2007_Jeremiah_JSES_Nonprosthetic Glenoid Arthroplasty with Humeral 1",1.00,high,pending
"Jerry_1999_Spine_The_acromioclavicular.pdf",SHOULDER_AND_ELBOW,"Jerry",1999,"Spine","The acromioclavicular","1999_Jerry_Spine_The Acromioclavicular",1.00,high,pending
"Jieun_2019_AJSM_The_Rotator_Cuff_Healing_Index.pdf",SHOULDER_AND_ELBOW,"Jieun",2019,"AJSM","The Rotator Cuff Healing Index","2019_Jieun_AJSM_The Rotator Cuff Healing Index",1.00,high,pending
"Jobin_ReverseforManagementofProximalHumerusFxs.pdf",SHOULDER_AND_ELBOW,"Jobin",2015,"JAAOS","ReverseforManagementofProximalHumerusFxs","2015_Jobin_JAAOS_Reverse for Management of Proximal Humerus Fxs",1.00,high,pending
"John_1999_Unknown_ORIGINAL_ARTICLES.pdf",SHOULDER_AND_ELBOW,"John",1999,"JSES","ORIGINAL ARTICLES","1999_John_JSES_Original Articles",1.00,high,pending
"John_2000_AJSM_Ligamentous_Restraints_to_External.pdf",SHOULDER_AND_ELBOW,"John",2000,"AJSM","Ligamentous Restraints to External","2000_John_AJSM_Ligamentous Restraints to External",1.00,high,pending
"John_2009_JSES_REVIEW_ARTICLES.pdf",SHOULDER_AND_ELBOW,"John",2009,"JSES","REVIEW ARTICLES","2009_John_JSES_Review Articles",1.00,high,pending
"John_2016_Orthopedics_www.amjorthopedics.com.pdf",SHOULDER_AND_ELBOW,"John",2016,"Orthopedics","www.amjorthopedics.com","2016_John_Orthopedics_Www.amjorthopedics.com",1.00,high,pending
